Mounting coordinates exported from Grove - Mini Track ball v1.0.brd on 2015/9/24 9:18:40

Value,Ref-Des,Size,x(inch),y(inch),Angle,Side
22pF,C1,C0402,0.037,-0.335,180,Top
22pF,C2,C0402,0.037,-0.265,0,Top
100nF,C3,C0402,0.410,-0.258,270,Top
10uF,C4,C0402,-0.275,0.083,270,Top
100nF,C5,C0402,-0.275,0.040,270,Top
10uF,C6,C0402,-0.275,0.270,270,Top
100nF,C7,C0402,-0.275,0.312,270,Top
100nF,C12,C0402,-0.275,-0.113,90,Top
100nF,C13,C0402,0.182,0.200,0,Top
100nF,C14,C0402,-0.275,-0.070,90,Top
100nF,C15,C0402,-0.170,0.200,180,Top
100nF,C16,C0402,0.265,-0.275,180,Top
LED-Blue,D1,LED-0402,0.557,0.000,90,Top
LED-Blue,D2,LED-0402,0.343,0.000,90,Top
,FR,SEEEDSTUDIO-PCB-FRAME,-0.850,-0.775,0,Top
GND,GND,TP-D45MIL,-0.750,0.250,180,Bottom
SMD Grove,J1,HW4-SMD-2.0-90D,-0.425,0.000,90,Top
DNP,J2,H4-2.54,0.000,0.312,90,Top
TS-1187AB,K1,SW4-4.5X4.5X0.5MM,0.450,0.000,90,Top
,P1,ROUND-MARK-1.0,-2.525,-0.250,0,Top
,P2,ROUND-MARK-1.0,0.900,-0.250,0,Top
,P3,ROUND-MARK-1.0,0.900,4.350,0,Top
,P4,ROUND-MARK-1.0,-2.525,4.350,0,Top
2N7002,Q1,SOT-23,-0.147,-0.300,90,Top
2N7002,Q2,SOT-23,-0.282,-0.200,90,Top
10k,R1,R0402,-0.055,-0.300,0,Top
10k,R2,R0402,-0.240,-0.300,180,Top
10k,R3,R0402,-0.190,-0.200,0,Top
10k,R4,R0402,0.325,-0.258,90,Top
10k,R5,R0402,-0.375,-0.200,0,Top
10k,R6,R0402,-0.275,-0.028,90,Top
100R,R11,R0402,0.190,-0.147,270,Top
1M,R12,R0402,-0.005,-0.300,0,Top
10k,R13,R0402,0.225,0.200,0,Top
100R,R15,R0402,0.190,-0.190,270,Top
SCL,SCL,TP-D45MIL,-0.750,-0.250,180,Bottom
SDA,SDA,TP-D45MIL,-0.750,-0.150,180,Bottom
,TP1,TP-D45MIL,0.700,0.250,0,Bottom
,TP2,TP-D45MIL,0.700,0.150,0,Bottom
,TP3,TP-D45MIL,0.700,-0.150,0,Bottom
,TP4,TP-D45MIL,0.700,-0.250,0,Bottom
,U$1,GROVE-1*2-TEST-PLATFORM,0.000,0.000,180,Top
,U$2,GROVE-1*2-TEST-PLATFORM,-1.625,0.000,0,Top
,U$3,GROVE-1*2-TEST-PLATFORM,-1.625,1.025,0,Top
,U$4,GROVE-1*2-TEST-PLATFORM,-1.625,2.050,0,Top
,U$5,GROVE-1*2-TEST-PLATFORM,-1.625,3.075,0,Top
,U$6,GROVE-1*2-TEST-PLATFORM,-1.625,4.100,0,Top
,U$7,GROVE-SILK-BIG,-0.180,-0.075,0,Bottom
,U$8,OSHW_FILLX200_NOTEXT,0.225,-0.075,0,Bottom
,U$9,GROVE-1*2-TEST-PLATFORM,0.000,4.100,180,Top
,U$10,GROVE-1*2-TEST-PLATFORM,0.000,3.075,180,Top
,U$11,GROVE-1*2-TEST-PLATFORM,0.000,2.050,180,Top
,U$12,GROVE-1*2-TEST-PLATFORM,0.000,1.025,180,Top
,U$13,SEEEDSTUDIO-PCB-FRAME,-3.020,-1.315,0,Top
STM32F103C8T6,U1,LQFP48,0.000,0.000,90,Top
XC6206P332MR,U2,SOT-23,-0.275,0.175,180,Top
AN48841B,U3,SMINI-5DE,0.595,0.150,90,Top
AN48841B,U4,SMINI-5DE,0.590,-0.150,180,Top
AN48841B,U5,SMINI-5DE,0.305,-0.150,270,Top
AN48841B,U6,SMINI-5DE,0.310,0.150,0,Top
Track Ball,U7,BALL4P-9.1X9.1X6.04MM,0.450,0.000,90,Top
VCC,VCC,TP-D45MIL,-0.750,0.150,180,Bottom
16M,X1,X4-SMD-3.2X2.5X0.7MM,0.150,-0.300,180,Top
