Mounting coordinates exported from Grove - Recorder v2.0.brd on 2015/8/18 11:00:29

Value,Ref-Des,Size,x(inch),y(inch),Angle,Side
100nF,C1,C0402,0.170,0.165,90,Bottom
100nF,C2,C0603,-0.055,0.083,180,Bottom
1uF,C3,C0402,-0.108,0.180,0,Bottom
DNP,C4,AVX-A,0.297,0.080,180,Bottom
100nF,C5,C0402,0.135,0.070,90,Bottom
100nF,C6,C0402,0.280,0.185,0,Bottom
4.7uF_16V,C7,AVX-A,0.057,0.165,180,Bottom
100nF,C8,C0402,-0.570,0.035,270,Bottom
47uF_16V,C9,AVX-B,-0.525,0.115,0,Bottom
RED,D1,LED-SIDE-VIEW-0603-RIGHT,0.695,-0.320,270,Bottom
320110033,J1,HW4-2.0,0.725,0.000,270,Top
2P-2.0,J2,JST-2.0,-0.600,0.255,270,Top
MiniMicrophone_250002001,MIC1,2P-D8.9MM,-0.440,-0.145,270,Top
DNP,MIC2,2P-D8.9MM,-0.440,-0.145,90,Bottom
,P1,ROUND-MARK-1.0,2.575,4.350,180,Top
,P2,ROUND-MARK-1.0,-0.850,4.350,180,Top
,P3,ROUND-MARK-1.0,2.575,-0.250,180,Top
,P4,ROUND-MARK-1.0,-0.850,-0.250,180,Top
,P5,ROUND-MARK-1.0,2.575,4.350,180,Bottom
,P6,ROUND-MARK-1.0,-0.850,4.350,180,Bottom
,P7,ROUND-MARK-1.0,-0.850,-0.250,180,Bottom
,P8,ROUND-MARK-1.0,2.575,-0.250,180,Bottom
4.7K,R2,R0402,0.215,0.165,90,Bottom
4.7K,R3,R0402,0.280,0.140,0,Bottom
1K,R4,R0402,0.180,0.070,270,Bottom
100K,R5,R0402,0.415,0.125,90,Bottom
100K,R6,R0402,0.040,0.070,270,Bottom
100K,R7,R0402,0.515,0.125,90,Bottom
DNP,R8,R0402,0.465,0.125,90,Bottom
DNP,R9,R0402,0.085,0.070,90,Bottom
470R,R10,R0402,0.695,-0.260,0,Bottom
560R,R11,R0402,-0.108,0.070,0,Bottom
0R,R12,R0402,-0.005,0.070,270,Bottom
DNP,R13,R0402,-0.055,0.180,90,Bottom
BUTTON-4P-13mm,REC,4P-6.0X6.0X5.0H,0.350,-0.225,180,Top
311030001,SW1,SW7-SMD-L6.7X2.7X3.2MM,0.685,0.325,270,Top
DNP,TP1,TP-D45MIL,0.800,0.150,0,Bottom
DNP,TP2,TP-D45MIL,0.800,0.250,0,Bottom
DNP,TP3,TP-D45MIL,0.800,-0.150,0,Bottom
DNP,TP4,TP-D45MIL,0.800,-0.250,0,Bottom
DNP,TP5,TP_4545,-0.650,0.250,0,Bottom
DNP,TP6,TP_4545,-0.650,0.150,0,Bottom
DNP,TP7,TP-D45MIL,-0.650,-0.150,0,Bottom
DNP,TP8,TP_4545,-0.650,-0.250,0,Bottom
,U$9,GROVE-2CONNECTOR,0.075,0.000,180,Top
,U$10,TWIGLOGO_SMALL,0.370,-0.330,0,Bottom
,U$11,OSHW_FILLX100_NOTEXT,0.480,-0.265,0,Bottom
ISD1820P,U1,DIP14,0.125,0.125,180,Top
NS8002,U2,SOIC8-1.27-5X4MM,-0.285,0.130,270,Bottom
,U3,GROVE-TEST-PLATFORM,0.075,3.075,180,Top
,U4,GROVE-TEST-PLATFORM,1.650,3.075,0,Top
,U5,GROVE-TEST-PLATFORM,0.075,2.050,180,Top
,U6,GROVE-TEST-PLATFORM,1.650,2.050,0,Top
,U7,GROVE-TEST-PLATFORM,0.075,1.025,180,Top
,U8,GROVE-TEST-PLATFORM,1.650,1.025,0,Top
,U9,GROVE-TEST-PLATFORM,1.650,0.000,0,Top
,U10,GROVE-TEST-PLATFORM,0.075,0.000,180,Top
,U11,GROVE-TEST-PLATFORM,0.075,4.100,180,Top
,U12,GROVE-TEST-PLATFORM,1.650,4.100,0,Top
10K,VR2,ADJR3-7.0X7.0X5.0MM,-0.025,-0.240,0,Top
